"REF_DATE","GEO","DGUID","Principal statistics","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Total, durable and non-durable goods","Dollars","81","millions","6","v123263908","1.1.1","54905","","","","0"
"2002-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Non-durable goods","Dollars","81","millions","6","v123263909","1.1.3","26029","","","","0"
"2002-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Food manufacturing","Dollars","81","millions","6","v123263910","1.1.4","6594","","","","0"
"2002-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Beverage and tobacco product manufacturing","Dollars","81","millions","6","v123263911","1.1.5","1583","","","","0"
"2002-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Textile mills","Dollars","81","millions","6","v123263912","1.1.6","382","","","","0"
"2002-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Textile product mills","Dollars","81","millions","6","v123263913","1.1.7","257","","","","0"
"2002-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Apparel manufacturing","Dollars","81","millions","6","v123263914","1.1.8","643","","","","0"
"2002-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Leather and allied product manufacturing","Dollars","81","millions","6","v123263915","1.1.9","91","","","","0"
"2002-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Paper manufacturing","Dollars","81","millions","6","v123263916","1.1.10","2997","","","","0"
"2002-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Printing and related support activities","Dollars","81","millions","6","v123263917","1.1.11","1023","","","","0"
"2002-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Petroleum and coal products manufacturing","Dollars","81","millions","6","v123263918","1.1.12","5305","","","","0"
"2002-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Chemical manufacturing","Dollars","81","millions","6","v123263919","1.1.13","4601","","","","0"
"2002-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Plastics and rubber products manufacturing","Dollars","81","millions","6","v123263920","1.1.14","2554","","","","0"
"2002-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Durable goods","Dollars","81","millions","6","v123263921","1.1.2","28876","","","","0"
"2002-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Wood product manufacturing","Dollars","81","millions","6","v123263922","1.1.15","2809","","","","0"
"2002-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Non-metallic mineral product manufacturing","Dollars","81","millions","6","v123263923","1.1.16","1163","","","","0"
"2002-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Primary metal manufacturing","Dollars","81","millions","6","v123263924","1.1.17","4563","","","","0"
"2002-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Fabricated metal product manufacturing","Dollars","81","millions","6","v123263925","1.1.18","3357","","","","0"
"2002-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Machinery manufacturing","Dollars","81","millions","6","v123263926","1.1.19","2781","","","","0"
"2002-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Computer and electronic product manufacturing","Dollars","81","millions","6","v123263927","1.1.20","1600","","","","0"
"2002-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Electrical equipment, appliance and component manufacturing","Dollars","81","millions","6","v123263928","1.1.21","1219","","","","0"
"2002-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Transportation equipment manufacturing","Dollars","81","millions","6","v123263929","1.1.22","9083","","","","0"
"2002-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Motor vehicle manufacturing","Dollars","81","millions","6","v123263930","1.1.23","4460","","","","0"
"2002-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Motor vehicle body and trailer manufacturing","Dollars","81","millions","6","v123263931","1.1.24","296","","","","0"
"2002-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Motor vehicle parts manufacturing","Dollars","81","millions","6","v123263932","1.1.25","2535","","","","0"
"2002-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Aerospace product and parts manufacturing","Dollars","81","millions","6","v123263933","1.1.26","1138","","","","0"
"2002-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Railroad rolling stock manufacturing","Dollars","81","millions","6","v123263934","1.1.27","355","","","","0"
"2002-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Ship and boat building","Dollars","81","millions","6","v123263935","1.1.28","168","","","","0"
"2002-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Other transportation equipment manufacturing","Dollars","81","millions","6","v123263936","1.1.29","131","","","","0"
"2002-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Furniture and related product manufacturing","Dollars","81","millions","6","v123263937","1.1.30","1341","","","","0"
"2002-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Miscellaneous manufacturing","Dollars","81","millions","6","v123263938","1.1.31","959","","","","0"
"2002-01","Canada","2016A000011124","New orders","Total, durable and non-durable goods","Dollars","81","millions","6","v123263939","1.2.1","","..","","","0"
"2002-01","Canada","2016A000011124","New orders","Non-durable goods","Dollars","81","millions","6","v123263940","1.2.3","","..","","","0"
"2002-01","Canada","2016A000011124","New orders","Durable goods","Dollars","81","millions","6","v123263941","1.2.2","","..","","","0"
"2002-01","Canada","2016A000011124","Unfilled orders","Total, durable and non-durable goods","Dollars","81","millions","6","v123263942","1.3.1","49184","","","","0"
