REFERENCE_PERIOD,NAICS,STATUS,SYMBOL,TERMINATED,DECIMALS,CALCULATED_VALUE
2002-01-01,"Total, durable and non-durable goods",,,,0,54905000000.0
2002-01-01,Non-durable goods,,,,0,26029000000.0
2002-01-01,Food manufacturing,,,,0,6594000000.0
2002-01-01,Beverage and tobacco product manufacturing,,,,0,1583000000.0
2002-01-01,Textile mills,,,,0,382000000.0
2002-01-01,Textile product mills,,,,0,257000000.0
2002-01-01,Apparel manufacturing,,,,0,643000000.0
2002-01-01,Leather and allied product manufacturing,,,,0,91000000.0
2002-01-01,Paper manufacturing,,,,0,2997000000.0
2002-01-01,Printing and related support activities,,,,0,1023000000.0
2002-01-01,Petroleum and coal products manufacturing,,,,0,5305000000.0
2002-01-01,Chemical manufacturing,,,,0,4601000000.0
2002-01-01,Plastics and rubber products manufacturing,,,,0,2554000000.0
2002-01-01,Durable goods,,,,0,28876000000.0
2002-01-01,Wood product manufacturing,,,,0,2809000000.0
2002-01-01,Non-metallic mineral product manufacturing,,,,0,1163000000.0
2002-01-01,Primary metal manufacturing,,,,0,4563000000.0
2002-01-01,Fabricated metal product manufacturing,,,,0,3357000000.0
2002-01-01,Machinery manufacturing,,,,0,2781000000.0
2002-01-01,Computer and electronic product manufacturing,,,,0,1600000000.0
2002-01-01,"Electrical equipment, appliance and component manufacturing",,,,0,1219000000.0
2002-01-01,Transportation equipment manufacturing,,,,0,9083000000.0
2002-01-01,Motor vehicle manufacturing,,,,0,4460000000.0
2002-01-01,Motor vehicle body and trailer manufacturing,,,,0,296000000.0
2002-01-01,Motor vehicle parts manufacturing,,,,0,2535000000.0
2002-01-01,Aerospace product and parts manufacturing,,,,0,1138000000.0
2002-01-01,Railroad rolling stock manufacturing,,,,0,355000000.0
2002-01-01,Ship and boat building,,,,0,168000000.0
2002-01-01,Other transportation equipment manufacturing,,,,0,131000000.0
2002-01-01,Furniture and related product manufacturing,,,,0,1341000000.0
2002-01-01,Miscellaneous manufacturing,,,,0,959000000.0
2002-02-01,"Total, durable and non-durable goods",,,,0,56354000000.0
2002-02-01,Non-durable goods,,,,0,26416000000.0
2002-02-01,Food manufacturing,,,,0,6665000000.0
2002-02-01,Beverage and tobacco product manufacturing,,,,0,1553000000.0
2002-02-01,Textile mills,,,,0,403000000.0
2002-02-01,Textile product mills,,,,0,276000000.0
2002-02-01,Apparel manufacturing,,,,0,705000000.0
2002-02-01,Leather and allied product manufacturing,,,,0,91000000.0
2002-02-01,Paper manufacturing,,,,0,2991000000.0
2002-02-01,Printing and related support activities,,,,0,1056000000.0
2002-02-01,Petroleum and coal products manufacturing,,,,0,5365000000.0
2002-02-01,Chemical manufacturing,,,,0,4720000000.0
2002-02-01,Plastics and rubber products manufacturing,,,,0,2591000000.0
2002-02-01,Durable goods,,,,0,29938000000.0
2002-02-01,Wood product manufacturing,,,,0,2881000000.0
2002-02-01,Non-metallic mineral product manufacturing,,,,0,1173000000.0
2002-02-01,Primary metal manufacturing,,,,0,4669000000.0
2002-02-01,Fabricated metal product manufacturing,,,,0,3489000000.0
2002-02-01,Machinery manufacturing,,,,0,2642000000.0
2002-02-01,Computer and electronic product manufacturing,,,,0,1619000000.0
2002-02-01,"Electrical equipment, appliance and component manufacturing",,,,0,1180000000.0
2002-02-01,Transportation equipment manufacturing,,,,0,9862000000.0
2002-02-01,Motor vehicle manufacturing,,,,0,5211000000.0
2002-02-01,Motor vehicle body and trailer manufacturing,,,,0,307000000.0
2002-02-01,Motor vehicle parts manufacturing,,,,0,2543000000.0
2002-02-01,Aerospace product and parts manufacturing,,,,0,1108000000.0
2002-02-01,Railroad rolling stock manufacturing,,,,0,366000000.0
2002-02-01,Ship and boat building,,,,0,248000000.0
2002-02-01,Other transportation equipment manufacturing,,,,0,79000000.0
2002-02-01,Furniture and related product manufacturing,,,,0,1389000000.0
2002-02-01,Miscellaneous manufacturing,,,,0,1034000000.0
2002-03-01,"Total, durable and non-durable goods",,,,0,56512000000.0
2002-03-01,Non-durable goods,,,,0,26508000000.0
2002-03-01,Food manufacturing,,,,0,6667000000.0
2002-03-01,Beverage and tobacco product manufacturing,,,,0,1581000000.0
2002-03-01,Textile mills,,,,0,388000000.0
2002-03-01,Textile product mills,,,,0,275000000.0
2002-03-01,Apparel manufacturing,,,,0,669000000.0
2002-03-01,Leather and allied product manufacturing,,,,0,103000000.0
2002-03-01,Paper manufacturing,,,,0,3008000000.0
2002-03-01,Printing and related support activities,,,,0,1058000000.0
2002-03-01,Petroleum and coal products manufacturing,,,,0,5523000000.0
2002-03-01,Chemical manufacturing,,,,0,4615000000.0
2002-03-01,Plastics and rubber products manufacturing,,,,0,2621000000.0
2002-03-01,Durable goods,,,,0,30004000000.0
2002-03-01,Wood product manufacturing,,,,0,2842000000.0
2002-03-01,Non-metallic mineral product manufacturing,,,,0,1186000000.0
2002-03-01,Primary metal manufacturing,,,,0,4696000000.0
2002-03-01,Fabricated metal product manufacturing,,,,0,3443000000.0
2002-03-01,Machinery manufacturing,,,,0,2677000000.0
2002-03-01,Computer and electronic product manufacturing,,,,0,1704000000.0
2002-03-01,"Electrical equipment, appliance and component manufacturing",,,,0,1177000000.0
2002-03-01,Transportation equipment manufacturing,,,,0,9976000000.0
2002-03-01,Motor vehicle manufacturing,,,,0,5191000000.0
2002-03-01,Motor vehicle body and trailer manufacturing,,,,0,333000000.0
