Date,Product,Revenue,Quantity
2023-04-15,Gadget,458.5,8
2022-10-01,Doodad,65.05,3
2023-05-11,Widget,523.47,7
2023-08-17,Widget,786.26,6
2023-02-15,Widget,960.92,2
2023-09-09,Doodad,560.89,10
2023-09-26,Widget,125.84,10
2023-09-22,Widget,261.5,4
2022-12-07,Gadget,253.72,4
2023-01-22,Gadget,550.96,8
2022-12-17,Widget,982.96,10
2022-11-15,Widget,509.61,4
2023-08-25,Gadget,593.56,3
2023-04-30,Widget,117.0,8
2023-06-13,Widget,500.49,5
2022-12-27,Doodad,90.37,1
2022-10-05,Doodad,966.28,2
2023-06-18,Gadget,731.17,3
2023-08-04,Gadget,724.35,3
2023-03-24,Widget,996.81,3
2023-07-10,Widget,498.85,8
2023-02-12,Widget,934.23,5
2022-10-21,Doodad,69.38,6
2022-12-26,Widget,224.32,6
2022-12-02,Widget,938.32,7
2023-01-11,Gadget,462.86,7
2023-02-18,Doodad,640.71,2
2023-04-22,Doodad,888.12,1
2023-09-21,Gadget,916.57,7
2022-10-26,Gadget,61.52,4
2022-12-23,Doodad,130.88,8
2022-11-13,Doodad,565.49,3
2022-11-17,Widget,247.21,3
2022-12-15,Doodad,547.95,1
2023-02-22,Widget,862.14,5
2023-09-14,Widget,388.07,8
2023-05-27,Gadget,314.21,8
2023-03-21,Widget,200.9,1
2023-04-03,Doodad,450.14,6
2023-06-20,Doodad,80.96,10
2023-01-24,Gadget,30.62,10
2022-10-31,Doodad,501.63,4
2023-05-05,Widget,469.14,5
2022-12-31,Widget,28.74,5
2023-07-27,Widget,680.66,7
2022-11-11,Gadget,408.36,4
2022-11-06,Widget,491.76,6
2023-09-04,Gadget,691.09,7
2022-10-17,Doodad,958.92,4
2023-07-25,Widget,953.06,1
2023-04-27,Doodad,593.74,2
2023-04-29,Widget,688.35,3
2023-03-02,Doodad,769.26,5
2022-10-23,Gadget,659.01,3
2023-09-18,Gadget,302.18,8
2023-05-10,Widget,918.38,5
2022-10-29,Widget,546.95,9
2023-07-31,Gadget,321.95,1
2022-11-21,Widget,812.79,6
2023-02-09,Doodad,422.8,9
2023-07-30,Gadget,251.98,5
2022-10-04,Widget,459.4,3
2022-12-26,Doodad,567.66,2
2022-12-04,Doodad,833.82,8
2022-09-30,Widget,953.82,6
2023-07-02,Gadget,213.44,10
2023-06-06,Gadget,274.78,8
2023-06-23,Widget,282.62,4
2023-01-09,Widget,278.38,1
2023-02-28,Widget,96.86,9
2023-05-01,Doodad,101.88,2
2023-08-10,Gadget,841.76,7
2023-08-16,Gadget,759.17,10
2023-09-08,Gadget,533.64,8
2023-04-04,Gadget,957.19,5
2023-05-27,Gadget,321.53,3
2023-09-17,Widget,23.68,2
2023-06-26,Doodad,766.77,4
2023-01-12,Widget,313.84,9
2023-09-01,Gadget,773.47,4
2023-06-13,Doodad,53.41,2
2023-02-27,Widget,764.94,2
2023-05-16,Widget,961.76,8
2023-07-20,Widget,928.97,10
2023-02-21,Doodad,494.37,5
2022-11-23,Widget,252.09,3
2023-01-23,Gadget,968.37,7
2023-06-29,Widget,248.27,4
2023-07-18,Gadget,556.7,10
2023-01-27,Widget,438.03,10
2023-01-11,Widget,717.24,4
2023-02-15,Doodad,262.01,4
2023-01-23,Gadget,455.26,6
2023-07-07,Widget,56.11,6
2023-01-19,Doodad,202.49,3
2023-05-25,Widget,197.14,10
2023-03-15,Doodad,347.8,10
2023-06-06,Widget,731.09,7
2023-09-09,Doodad,192.1,5
2023-05-05,Widget,212.88,6
