Date,Product,Revenue,Quantity
2022-08-29,Doodad,651.11,2
2023-01-21,Gadget,94.54,3
2022-11-06,Gadget,605.23,1
2023-04-23,Doodad,259.28,7
2023-07-27,Widget,689.01,10
2023-05-31,Gadget,174.77,9
2023-03-24,Widget,32.19,6
2023-03-30,Doodad,736.72,9
2023-04-25,Gadget,286.83,3
2023-08-24,Widget,753.75,8
2023-05-08,Gadget,303.13,5
2023-06-28,Doodad,340.87,1
2023-05-28,Widget,21.34,4
2023-06-28,Widget,232.42,4
2023-07-14,Widget,196.48,8
2023-08-21,Widget,605.24,2
2023-02-10,Gadget,236.99,1
2022-09-10,Gadget,51.99,5
2023-08-04,Doodad,567.78,1
2022-12-29,Doodad,142.2,10
2023-03-23,Widget,278.34,2
2023-05-15,Gadget,157.42,5
2022-11-25,Gadget,440.17,1
2022-08-28,Doodad,954.81,4
2022-11-21,Widget,179.42,3
2023-07-13,Gadget,909.37,6
2023-04-06,Doodad,604.07,9
2023-02-17,Doodad,763.6,4
2022-11-27,Gadget,187.63,3
2023-07-02,Doodad,714.83,3
2023-07-11,Widget,17.89,1
2023-06-28,Widget,898.32,2
2023-05-05,Gadget,343.3,3
2022-09-18,Gadget,84.28,2
2023-06-15,Doodad,682.37,9
2023-02-23,Widget,655.81,2
2023-04-21,Widget,794.53,6
2023-03-13,Gadget,353.79,9
2023-03-17,Doodad,162.39,9
2023-01-29,Widget,807.5,10
2022-10-30,Doodad,814.04,5
2022-12-06,Doodad,743.46,8
2022-10-08,Doodad,986.36,9
2023-04-23,Gadget,633.56,4
2022-09-07,Doodad,736.89,5
2023-03-10,Gadget,146.67,7
2023-03-19,Widget,414.32,9
2023-02-04,Doodad,391.71,4
2023-02-17,Doodad,812.98,4
2023-01-31,Doodad,429.67,10
2022-12-09,Gadget,803.33,1
2023-04-16,Gadget,946.89,7
2023-08-09,Doodad,47.12,1
2023-02-14,Doodad,897.75,6
2022-09-02,Widget,895.45,2
2023-06-27,Doodad,292.59,10
2023-06-03,Doodad,456.88,10
2023-04-27,Doodad,804.15,10
2023-05-30,Widget,648.6,8
2022-10-21,Doodad,381.14,10
2023-06-25,Doodad,379.33,8
2022-11-28,Doodad,341.7,5
2023-08-12,Gadget,783.15,4
2023-08-08,Gadget,875.57,10
2023-05-16,Widget,342.0,8
2022-12-19,Widget,40.18,3
2023-05-05,Widget,208.67,1
2023-03-02,Doodad,419.63,10
2023-03-02,Gadget,214.05,6
2023-04-12,Doodad,470.64,6
2022-09-15,Doodad,871.9,3
2022-09-23,Gadget,701.24,6
2022-10-01,Doodad,678.46,10
2023-04-03,Widget,719.15,8
2022-12-07,Doodad,74.46,7
2023-06-22,Widget,289.16,7
2023-02-28,Gadget,998.17,10
2023-02-12,Doodad,939.85,2
2022-09-05,Widget,788.16,7
2022-11-06,Widget,823.76,5
2023-04-15,Doodad,560.74,1
2022-10-06,Widget,864.67,8
2023-03-18,Doodad,204.91,6
2023-08-08,Widget,272.05,8
2022-11-20,Gadget,279.98,1
2023-02-10,Doodad,478.54,2
2022-09-09,Gadget,439.7,3
2023-05-27,Gadget,858.16,9
2022-12-08,Doodad,66.88,2
2022-12-22,Widget,630.66,5
2023-02-15,Gadget,799.65,5
2023-03-02,Widget,381.32,10
2022-12-09,Widget,523.46,10
2022-09-12,Doodad,194.15,10
2023-08-24,Gadget,852.62,1
2023-08-09,Gadget,730.12,7
2022-09-07,Doodad,446.43,4
2023-07-04,Gadget,742.74,5
2023-04-03,Widget,383.05,4
2023-07-15,Widget,863.77,9
