REFERENCE_PERIOD,NAICS,STATUS,CALCULATED_VALUE
2002-01-01,"Total, durable and non-durable goods",,54905000000.0
2002-01-01,Non-durable goods,,26029000000.0
2002-01-01,Food manufacturing,,6594000000.0
2002-01-01,Beverage and tobacco product manufacturing,,1583000000.0
2002-01-01,Textile mills,,382000000.0
2002-01-01,Textile product mills,,257000000.0
2002-01-01,Apparel manufacturing,,643000000.0
2002-01-01,Leather and allied product manufacturing,,91000000.0
2002-01-01,Paper manufacturing,,2997000000.0
2002-01-01,Printing and related support activities,,1023000000.0
2002-01-01,Petroleum and coal products manufacturing,,5305000000.0
2002-01-01,Chemical manufacturing,,4601000000.0
2002-01-01,Plastics and rubber products manufacturing,,2554000000.0
2002-01-01,Durable goods,,28876000000.0
2002-01-01,Wood product manufacturing,,2809000000.0
2002-01-01,Non-metallic mineral product manufacturing,,1163000000.0
2002-01-01,Primary metal manufacturing,,4563000000.0
2002-01-01,Fabricated metal product manufacturing,,3357000000.0
2002-01-01,Machinery manufacturing,,2781000000.0
2002-01-01,Computer and electronic product manufacturing,,1600000000.0
2002-01-01,"Electrical equipment, appliance and component manufacturing",,1219000000.0
2002-01-01,Transportation equipment manufacturing,,9083000000.0
2002-01-01,Motor vehicle manufacturing,,4460000000.0
2002-01-01,Motor vehicle body and trailer manufacturing,,296000000.0
2002-01-01,Motor vehicle parts manufacturing,,2535000000.0
2002-01-01,Aerospace product and parts manufacturing,,1138000000.0
2002-01-01,Railroad rolling stock manufacturing,,355000000.0
2002-01-01,Ship and boat building,,168000000.0
2002-01-01,Other transportation equipment manufacturing,,131000000.0
2002-01-01,Furniture and related product manufacturing,,1341000000.0
2002-01-01,Miscellaneous manufacturing,,959000000.0
2002-02-01,"Total, durable and non-durable goods",,56354000000.0
2002-02-01,Non-durable goods,,26416000000.0
2002-02-01,Food manufacturing,,6665000000.0
2002-02-01,Beverage and tobacco product manufacturing,,1553000000.0
2002-02-01,Textile mills,,403000000.0
2002-02-01,Textile product mills,,276000000.0
2002-02-01,Apparel manufacturing,,705000000.0
2002-02-01,Leather and allied product manufacturing,,91000000.0
2002-02-01,Paper manufacturing,,2991000000.0
2002-02-01,Printing and related support activities,,1056000000.0
2002-02-01,Petroleum and coal products manufacturing,,5365000000.0
2002-02-01,Chemical manufacturing,,4720000000.0
2002-02-01,Plastics and rubber products manufacturing,,2591000000.0
2002-02-01,Durable goods,,29938000000.0
2002-02-01,Wood product manufacturing,,2881000000.0
2002-02-01,Non-metallic mineral product manufacturing,,1173000000.0
2002-02-01,Primary metal manufacturing,,4669000000.0
2002-02-01,Fabricated metal product manufacturing,,3489000000.0
2002-02-01,Machinery manufacturing,,2642000000.0
2002-02-01,Computer and electronic product manufacturing,,1619000000.0
2002-02-01,"Electrical equipment, appliance and component manufacturing",,1180000000.0
2002-02-01,Transportation equipment manufacturing,,9862000000.0
2002-02-01,Motor vehicle manufacturing,,5211000000.0
2002-02-01,Motor vehicle body and trailer manufacturing,,307000000.0
2002-02-01,Motor vehicle parts manufacturing,,2543000000.0
2002-02-01,Aerospace product and parts manufacturing,,1108000000.0
2002-02-01,Railroad rolling stock manufacturing,,366000000.0
2002-02-01,Ship and boat building,,248000000.0
2002-02-01,Other transportation equipment manufacturing,,79000000.0
2002-02-01,Furniture and related product manufacturing,,1389000000.0
2002-02-01,Miscellaneous manufacturing,,1034000000.0
